gene	protein_accession	aro_index	count	rpob_Normalization	rpob_count	sample
emrY	BAA11237.1	ARO:3000254	1	3.464307086153321e-05	71719	R37_S30_arg_short
eptA	BAE78116.1	ARO:3003576	27	0.0008756225812100301	71719	R37_S30_arg_short
eptB	CCI79240.1	ARO:3005047	13	0.00040179937317489565	71719	R37_S30_arg_short
erm(46)	AJF36617.1	ARO:3004596	1	6.557894963825291e-05	71719	R37_S30_arg_short
erm(56)	WGG63489.1	ARO:3007654	1	6.656140581260875e-05	71719	R37_S30_arg_short
evgA	BAB36671.1	ARO:3000832	2	0.0001733843448972345	71719	R37_S30_arg_short
evgS	AAC75429.1	ARO:3000833	7	0.0001038424603203387	71719	R37_S30_arg_short
farA	AAF40763.1	ARO:3003961	12	0.0005539292057755804	71719	R37_S30_arg_short
farB	AAF40764.1	ARO:3003962	4	0.00013966126013333232	71719	R37_S30_arg_short
floR	AAG16656.1	ARO:3002705	58	0.0025451109392939735	71719	R37_S30_arg_short
gadW	ANK04027.1	ARO:3003838	1	7.313537181879233e-05	71719	R37_S30_arg_short
golS	AAL19308.1	ARO:3000504	3	0.00034397216810257814	71719	R37_S30_arg_short
iri	AAB41059.1	ARO:3002884	5	0.00018512390991631808	71719	R37_S30_arg_short
kdpE	AAC73788.1	ARO:3003841	141	0.011087775418704785	71719	R37_S30_arg_short
leuO	VWQ00850.1	ARO:3003843	7	0.00039493100782147866	71719	R37_S30_arg_short
lfrA	AAC43550.1	ARO:3003967	53	0.0018651692151568841	71719	R37_S30_arg_short
linG	ABG65740.1	ARO:3002879	5	0.0003243046597074186	71719	R37_S30_arg_short
lmrC	ABX00624.1	ARO:3002881	7	0.00022577725492516472	71719	R37_S30_arg_short
lmrD	AYV52072.1	ARO:3002882	1	2.6724654664611333e-05	71719	R37_S30_arg_short
lnuB	CAB41414.1	ARO:3002836	8	0.0005305043388646728	71719	R37_S30_arg_short
lnuC	AAY32951.1	ARO:3002837	3	0.00032312537003575525	71719	R37_S30_arg_short
lnuD	ABR14060.1	ARO:3002838	5	0.0005385422833929255	71719	R37_S30_arg_short
lnuF	CAD91132.1	ARO:3002839	3	0.00019458279582445113	71719	R37_S30_arg_short
lsaA	AAO43110.1	ARO:3000300	1	3.5615020745423924e-05	71719	R37_S30_arg_short
lsaE	AAL05553.1	ARO:3003206	27	0.0009693761101072656	71719	R37_S30_arg_short
macB	AAV85982.1	ARO:3000535	136	0.003747252353282867	71719	R37_S30_arg_short
marA	BAA15221.2	ARO:3000263	5	0.0006942146621861929	71719	R37_S30_arg_short
mdsB	AAL19305.1	ARO:3000790	95	0.0015987974038227473	71719	R37_S30_arg_short
mdsC	AAL19304.1	ARO:3000791	13	0.0004584020626499305	71719	R37_S30_arg_short
mdtA	AAC75135.2	ARO:3000792	8	0.0003417672183070488	71719	R37_S30_arg_short
mdtB	AAC75136.1	ARO:3000793	471	0.008040886369621747	71719	R37_S30_arg_short
mdtC	AAC75137.1	ARO:3000794	271	0.00469413610173775	71719	R37_S30_arg_short
mdtE	BAE77781.1	ARO:3000795	2	9.208235933661418e-05	71719	R37_S30_arg_short
mdtF	AAC76539.1	ARO:3000796	85	0.0014553093496311714	71719	R37_S30_arg_short
mdtG	ABV18113.1	ARO:3001329	8	0.00034761653500179046	71719	R37_S30_arg_short
mdtH	AAC74149.2	ARO:3001216	14	0.0006173859427482172	71719	R37_S30_arg_short
mdtM	AAC77293.1	ARO:3001214	6	0.00025944372776593485	71719	R37_S30_arg_short
mdtN	BAE78084.1	ARO:3003548	6	0.0003099749189296489	71719	R37_S30_arg_short
mdtO	BAE78083.1	ARO:3003549	2	5.196460629229982e-05	71719	R37_S30_arg_short
mdtP	BAE78082.1	ARO:3003550	2	7.268668855610036e-05	71719	R37_S30_arg_short
mef(B)	ACJ63262.1	ARO:3003107	36	0.0015604591040751107	71719	R37_S30_arg_short
mef(C)	BAL43360.1	ARO:3003745	19	0.0008276127737435398	71719	R37_S30_arg_short
mef(E)	AAK99775.1	ARO:3000614	1	4.398983998011519e-05	71719	R37_S30_arg_short
mef(F)	QNR09091.1	ARO:3007044	1	4.465300339690085e-05	71719	R37_S30_arg_short
mel	AAL73129.1	ARO:3000616	25	0.001094328531525033	71719	R37_S30_arg_short
mexN	BAE06006.1	ARO:3003705	37	0.0006340984841106672	71719	R37_S30_arg_short
mexQ	BAE06008.1	ARO:3003699	44	0.000741900754731051	71719	R37_S30_arg_short
mexX	BAA34299.1	ARO:3003034	1	4.556896244093984e-05	71719	R37_S30_arg_short
mexY	BAA34300.1	ARO:3003033	176	0.0029874437267871164	71719	R37_S30_arg_short
mphA	BAA03776.1	ARO:3000316	226	0.013299497846173633	71719	R37_S30_arg_short
mphE	ABI20451.1	ARO:3003741	853	0.05138788723805918	71719	R37_S30_arg_short
mphF	CAJ98570.1	ARO:3003071	2	0.00011847930234644358	71719	R37_S30_arg_short
mphG	BAL43359.1	ARO:3003742	6	0.0003614622783450821	71719	R37_S30_arg_short
msbA	AAC74000.1	ARO:3003950	212	0.0064625074007151045	71719	R37_S30_arg_short
msrC	AAK01167.1	ARO:3002819	3	0.00010814540782129739	71719	R37_S30_arg_short
msrE	ACB05808.1	ARO:3003109	1667	0.06021493811326874	71719	R37_S30_arg_short
mtrC	AAF42063.1	ARO:3000810	1	4.303122361250978e-05	71719	R37_S30_arg_short
mtrD	AAF42062.1	ARO:3000811	306	0.00509194754466457	71719	R37_S30_arg_short
novA	AAF67494.2	ARO:3002522	13	0.0003750562330772159	71719	R37_S30_arg_short
oleC	AAA26793.1	ARO:3003748	4	0.0002180600656683011	71719	R37_S30_arg_short
opcM	AAC43969.1	ARO:3003037	1	3.464307086153321e-05	71719	R37_S30_arg_short
oqxA	AAP43109.1	ARO:3003922	9	0.0004080282096114766	71719	R37_S30_arg_short
oqxB	AAP43110.2	ARO:3003923	320	0.005411043304119212	71719	R37_S30_arg_short
poxtA	AVI44920.1	ARO:3004470	1	3.272908904597889e-05	71719	R37_S30_arg_short
pp-flo	BAA07072.1	ARO:3002812	77	0.0036491625122704627	71719	R37_S30_arg_short
qacB	AAQ10694.1	ARO:3003047	3	0.00010352560399203807	71719	R37_S30_arg_short
qacE	AEH26330.1	ARO:3005009	135	0.021614467319959304	71719	R37_S30_arg_short
qacEdelta1	AAC44316.1	ARO:3005010	140	0.02144883921789065	71719	R37_S30_arg_short
qacL	AAZ42322.1	ARO:3005098	429	0.06868597392787067	71719	R37_S30_arg_short
ramA	AFK13828.1	ARO:3000823	2	0.0002843503256314646	71719	R37_S30_arg_short
rosA	AAC60781.1	ARO:3003048	34	0.001470181124006964	71719	R37_S30_arg_short
rosB	AAC60780.1	ARO:3003049	339	0.010682043482830951	71719	R37_S30_arg_short
rphA	AIA08936.1	ARO:3000444	18	0.000369392744036256	71719	R37_S30_arg_short
rphB	APB03222.1	ARO:3003992	35	0.0007028433190043264	71719	R37_S30_arg_short
rpoB2	BAD59497.1	ARO:3000501	3676	0.05617324790526998	71719	R37_S30_arg_short
rsmA	AAC16242.1	ARO:3005069	376	0.10777794600547448	71719	R37_S30_arg_short
sdiA	AAL20862.1	ARO:3000826	1	7.374230436500638e-05	71719	R37_S30_arg_short
smeA	AAD51344.1	ARO:3003051	1	4.454109110768556e-05	71719	R37_S30_arg_short
smeB	AAD51345.1	ARO:3003052	46	0.0007785782725623436	71719	R37_S30_arg_short
smeD	CAC14594.1	ARO:3003055	28	0.001259779923683704	71719	R37_S30_arg_short
smeE	CAC14595.1	ARO:3003056	213	0.003636324409192	71719	R37_S30_arg_short
smeF	CAC14596.1	ARO:3003057	13	0.0004947208556221948	71719	R37_S30_arg_short
smeR	AAD51348.1	ARO:3003066	101	0.007804180132820088	71719	R37_S30_arg_short
sul1	AEJ33969.1	ARO:3000410	1483	0.0941275743105942	71719	R37_S30_arg_short
sul2	AAL59753.1	ARO:3000412	104	0.006795136458104852	71719	R37_S30_arg_short
sul3	ACJ63260.1	ARO:3000413	4	0.00026927114169646274	71719	R37_S30_arg_short
tap	CAA03986.1	ARO:3000343	18	0.0007802295520375553	71719	R37_S30_arg_short
tet(32)	ACH87088.1	ARO:3000196	2	5.553717297489543e-05	71719	R37_S30_arg_short
tet(35)	AAK37619.1	ARO:3000481	1	4.8032149599909565e-05	71719	R37_S30_arg_short
tet(36)	CAD55718.1	ARO:3000197	6	0.00016635159455818913	71719	R37_S30_arg_short
tet(37)	AAN28721.1	ARO:3002871	1	0.00016304491148593154	71719	R37_S30_arg_short
tet(39)	AAW66497.1	ARO:3000566	244	0.010950359762322818	71719	R37_S30_arg_short
tet(40)	CAM12479.1	ARO:3000567	1	4.366559054537233e-05	71719	R37_S30_arg_short
tet(42)	ACD35503.1	ARO:3000572	3	0.00012427898847529046	71719	R37_S30_arg_short
tet(43)	ACS83748.1	ARO:3000573	12	0.0004101206619684586	71719	R37_S30_arg_short
tet(44)	CBH51823.1	ARO:3000556	8	0.00022180212607758552	71719	R37_S30_arg_short
tet(49)	AKQ05893.1	ARO:3004582	2	9.160770799982751e-05	71719	R37_S30_arg_short
tet(57)	AJO67548.1	ARO:3005006	1	4.454109110768556e-05	71719	R37_S30_arg_short
tet(62)	QIQ10744.1	ARO:3007492	1	4.366559054537233e-05	71719	R37_S30_arg_short
tet(64)	WP_124470450.1	ARO:3007494	3	0.0001342964384279587	71719	R37_S30_arg_short
